C:\_z-Tree\Data\Channel1\191031_1131.xls
191031_1131	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191031_1131	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	5	0	4	
191031_1131	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	1	1	4	
191031_1131	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	4	1	4	
191031_1131	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	3	1	4	
191031_1131	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	4	0	4	
191031_1131	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	2	0	4	
191031_1131	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	5	1	4	
191031_1131	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	1	4	
191031_1131	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	1	0	4	
191031_1131	1	EET	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	3	0	4	
191031_1131	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191031_1131	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191031_1131	1	session	1	0	0	0	0	0	0	16.20484943852371	32.38207305842627	34.24731182795699	46.55048076923077	23.20916224142032	26.8469529020653	39.99480755500746	30.88418430884184	26.28071833648393	31.50974025974026	27.64387550476609	30.1530471550694	0	1	2	1	33.28071833648393	-0.5	0.5	0	0	
191031_1131	1	session	2	0	0	0	0	0	0	44.90880480652314	64.75947674175617	58.91129032258065	7.614406779661017	41.06592085315489	30.54682540184244	50.28575950082518	41.25725338491296	32.11231884057971	28.84169884169884	32.85180748361638	32.94212473572938	0	0	1	1	38.11231884057971	0.5	2.5	0	0	
191031_1131	1	session	3	0	0	0	0	0	0	20.54827655714574	16.97534022306355	34.27247769389155	53.72727272727273	15.44420018104228	26.57360406091371	10.5519322833553	24.67084639498433	28.66587254318046	29.85049833887043	30.22049677735479	30	0	0	1	1	34.66587254318046	0.5	2.5	0	0	
191031_1131	1	session	4	0	0	0	0	0	0	36.29510179399314	29.87464421970569	30	30	29.67043092043092	37.26260324157352	30	30	35.82047685834503	30	34.0996331996929	40.19610702048552	0	1	2	1	41.82047685834503	0.5	2.5	0	0	
191031_1131	1	session	5	0	0	0	0	0	0	29.82062333391465	0	23.27764976958526	10.1625	0	24.0666947265932	0	34.09681227863046	17.68921095008052	27.10526315789474	29.20684764991896	20.11522198731501	0	0	1	1	24.68921095008052	-0.5	0.5	1	0	
191031_1131	1	session	6	0	0	0	0	0	0	3.976348854397635	35.26031831669814	30.89213709677419	25.953125	51.83018113250671	31.91344188806119	39.20755301036991	30.995670995671	32.08140610545791	31.53726708074534	29.13197119855461	24.96290601576014	0	0	1	1	39.08140610545791	0.5	0.5	0	0	
191031_1131	1	session	7	0	0	0	0	0	0	31.0736704037975	29.53061775020233	30	5.859375	20.98583772741076	30.13324873096446	24.19864642399854	27.90909090909091	29.9647473560517	30.12605042016807	28.12456587172957	34.49341356318101	0	0	1	1	35.9647473560517	0.5	0.5	0	1	
191031_1131	1	session	8	0	0	0	0	0	0	35.99484139553826	30.6742228924454	38.60041623309053	31.45790816326531	29.39978939978941	28.55456927705428	29.36619718309859	23.65231259968102	30	29.47368421052632	28.61331537182428	30	0	0	1	1	36	-0.5	0.5	0	1	
191031_1131	1	session	9	0	0	0	0	0	0	26	18	22	14	30	34	30	30	22	30	22	34	1	0	3	1	29	0.5	2.5	0	0	
191031_1131	1	session	10	0	0	0	0	0	0	49.89028213166144	32.71108713245213	9.212648556876072	48.1551724137931	61.11349260285431	30.10256780696353	36.64846220178212	25.91966173361522	30.31109445277361	30.49053356282272	30.27012425715829	27.20715232737306	0	1	2	1	37.31109445277362	-0.5	2.5	0	1	
191031_1131	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191031_1131	1	summary	Period	
191031_1131	1	summary	-1	
191031_1131	1	summary	0	
191031_1131	1	summary	1	
191031_1131	1	summary	2	
191031_1131	1	summary	3	
191031_1131	1	summary	4	
191031_1131	1	summary	5	
191031_1131	1	summary	6	
191031_1131	1	summary	7	
191031_1131	1	summary	8	
191031_1131	1	summary	9	
191031_1131	1	summary	10	
191031_1131	1	summary	11	
191031_1131	1	summary	12	
191031_1131	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191031_1131	1	timelog	0	0	0	0	0	1	0	0	1	
191031_1131	1	timelog	0	0	0	0	-1	2	24.54599999997299	4	192	
191031_1131	1	timelog	0	0	0	0	-1	3	36.70299999997951	9	192	
191031_1131	1	timelog	0	0	0	0	-1	4	40.40599999995902	10	192	
191031_1131	1	timelog	0	0	0	0	-1	5	42.03099999995902	6	192	
191031_1131	1	timelog	0	0	0	0	-1	6	44.92099999997299	1	192	
191031_1131	1	timelog	0	0	0	0	-1	7	88.95299999997951	3	192	
191031_1131	1	timelog	0	0	0	0	-1	8	90.42099999997299	5	192	
191031_1131	1	timelog	0	0	0	0	-1	9	130.0620000000345	7	192	
191031_1131	1	timelog	0	0	0	0	-1	10	140.9679999999935	8	192	
191031_1131	1	timelog	0	0	0	0	-1	11	160.4679999999935	2	192	
191031_1131	1	timelog	0	0	0	0	-1	12	160.4679999999935	0	206	
191031_1131	1	timelog	0	0	0	0	-1	13	166.030999999959	3	207	
191031_1131	1	timelog	0	0	0	0	-1	14	166.2029999999795	9	207	
191031_1131	1	timelog	0	0	0	0	-1	15	168.170999999973	6	207	
191031_1131	1	timelog	0	0	0	0	-1	16	168.3279999999795	8	207	
191031_1131	1	timelog	0	0	0	0	-1	17	168.625	1	207	
191031_1131	1	timelog	0	0	0	0	-1	18	169.1870000000345	2	207	
191031_1131	1	timelog	0	0	0	0	-1	19	170.8429999999935	10	207	
191031_1131	1	timelog	0	0	0	0	-1	20	170.920999999973	4	207	
191031_1131	1	timelog	0	0	0	0	-1	21	171.9679999999935	8	207	
191031_1131	1	timelog	0	0	0	0	-1	22	172.75	6	207	
191031_1131	1	timelog	0	0	0	0	-1	23	172.905999999959	3	207	
191031_1131	1	timelog	0	0	0	0	-1	24	173.3120000000345	9	207	
191031_1131	1	timelog	0	0	0	0	-1	25	174.3279999999795	8	207	
191031_1131	1	timelog	0	0	0	0	-1	26	175.3279999999795	7	207	
191031_1131	1	timelog	0	0	0	0	-1	27	176.640000000014	10	207	
191031_1131	1	timelog	1	0	0	0	-1	28	176.890000000014	6	207	
191031_1131	1	timelog	0	0	0	0	-1	29	177.170999999973	1	207	
191031_1131	1	timelog	0	0	0	0	-1	30	178.515000000014	2	207	
191031_1131	1	timelog	1	0	0	0	-1	31	179.984000000055	9	207	
191031_1131	1	timelog	1	0	0	0	-1	32	180.265000000014	3	207	
191031_1131	1	timelog	0	0	0	0	-1	33	180.905999999959	10	207	
191031_1131	1	timelog	1	0	0	0	-1	34	181.015000000014	6	207	
191031_1131	1	timelog	0	0	0	0	-1	35	182.655999999959	1	207	
191031_1131	1	timelog	1	0	0	0	-1	36	182.7179999999935	8	207	
191031_1131	1	timelog	1	0	0	0	-1	37	183.140000000014	9	207	
191031_1131	1	timelog	1	0	0	0	-1	38	183.390000000014	6	207	
191031_1131	1	timelog	1	0	0	0	-1	39	184.9370000000345	10	207	
191031_1131	1	timelog	1	0	0	0	-1	40	185.8120000000345	3	207	
191031_1131	1	timelog	1	0	0	0	-1	41	186.3120000000345	10	207	
191031_1131	1	timelog	1	0	0	0	-1	42	186.6870000000345	2	207	
191031_1131	1	timelog	1	0	0	0	-1	43	186.7029999999795	8	207	
191031_1131	1	timelog	0	0	0	0	-1	44	186.765000000014	7	207	
191031_1131	1	timelog	1	0	0	0	-1	45	186.984000000055	9	207	
191031_1131	1	timelog	0	0	0	0	-1	46	187.295999999973	6	207	
191031_1131	1	timelog	0	0	0	0	-1	47	189.6870000000345	10	207	
191031_1131	1	timelog	0	0	0	0	-1	48	190.045999999973	8	207	
191031_1131	1	timelog	0	0	0	0	-1	49	190.0620000000345	6	207	
191031_1131	1	timelog	1	0	0	0	-1	50	190.7029999999795	3	207	
191031_1131	1	timelog	0	0	0	0	-1	51	191	9	207	
191031_1131	1	timelog	1	0	0	0	-1	52	191.9529999999795	2	207	
191031_1131	1	timelog	0	0	0	0	-1	53	192.390000000014	8	207	
191031_1131	1	timelog	1	0	0	0	-1	54	192.5929999999935	7	207	
191031_1131	1	timelog	0	0	0	0	-1	55	192.8429999999935	10	207	
191031_1131	1	timelog	0	0	0	0	-1	56	193.420999999973	6	207	
191031_1131	1	timelog	0	0	0	0	-1	57	193.7179999999935	9	207	
191031_1131	1	timelog	1	0	0	0	-1	58	194.155999999959	1	207	
191031_1131	1	timelog	0	0	0	0	-1	59	194.9529999999795	8	207	
191031_1131	1	timelog	0	0	0	0	-1	60	195.015000000014	3	207	
191031_1131	1	timelog	1	0	0	0	-1	61	196.234000000055	2	207	
191031_1131	1	timelog	1	0	0	0	-1	62	196.484000000055	7	207	
191031_1131	1	timelog	0	0	0	0	-1	63	196.530999999959	5	207	
191031_1131	1	timelog	0	0	0	0	-1	64	196.795999999973	10	207	
191031_1131	1	timelog	1	0	0	0	-1	65	196.984000000055	6	207	
191031_1131	1	timelog	0	0	0	0	-1	66	197.170999999973	9	207	
191031_1131	1	timelog	1	0	0	0	-1	67	198.140000000014	1	207	
191031_1131	1	timelog	0	0	0	0	-1	68	198.359000000055	3	207	
191031_1131	1	timelog	1	0	0	0	-1	69	198.4529999999795	7	207	
191031_1131	1	timelog	0	0	0	0	-1	70	199.609000000055	5	207	
191031_1131	1	timelog	1	0	0	0	-1	71	199.859000000055	6	207	
191031_1131	1	timelog	0	0	0	0	-1	72	200.045999999973	9	207	
191031_1131	1	timelog	0	0	0	0	-1	73	200.2179999999935	4	207	
191031_1131	1	timelog	0	0	0	0	-1	74	201.0929999999935	3	207	
191031_1131	1	timelog	0	0	0	0	-1	75	202.140000000014	5	207	
191031_1131	1	timelog	0	0	0	0	-1	76	202.2179999999935	2	207	
191031_1131	1	timelog	0	0	0	0	-1	77	202.405999999959	10	207	
191031_1131	1	timelog	0	0	0	0	-1	78	202.780999999959	7	207	
191031_1131	1	timelog	0	0	0	0	-1	79	203.7179999999935	9	207	
191031_1131	1	timelog	1	0	0	0	-1	80	205.234000000055	8	207	
191031_1131	1	timelog	0	0	0	0	-1	81	205.3120000000345	1	207	
191031_1131	1	timelog	1	0	0	0	-1	82	205.5779999999795	10	207	
191031_1131	1	timelog	0	0	0	0	-1	83	206	2	207	
191031_1131	1	timelog	0	0	0	0	-1	84	206	3	207	
191031_1131	1	timelog	0	0	0	0	-1	85	206.625	7	207	
191031_1131	1	timelog	1	0	0	0	-1	86	207.015000000014	4	207	
191031_1131	1	timelog	1	0	0	0	-1	87	207.2029999999795	8	207	
191031_1131	1	timelog	1	0	0	0	-1	88	209.625	5	207	
191031_1131	1	timelog	0	0	0	0	-1	89	209.8120000000345	7	207	
191031_1131	1	timelog	0	0	0	0	-1	90	210.375	2	207	
191031_1131	1	timelog	0	0	0	0	-1	91	210.4370000000345	1	207	
191031_1131	1	timelog	0	0	0	0	-1	92	210.780999999959	3	207	
191031_1131	1	timelog	1	0	0	0	-1	93	212.0779999999795	4	207	
191031_1131	1	timelog	1	0	0	0	-1	94	213.890000000014	5	207	
191031_1131	1	timelog	1	0	0	0	-1	95	214.530999999959	7	207	
191031_1131	1	timelog	0	0	0	0	-1	96	215.530999999959	1	207	
191031_1131	1	timelog	1	0	0	0	-1	97	217.5929999999935	7	207	
191031_1131	1	timelog	0	0	0	0	-1	98	218.4529999999795	5	207	
191031_1131	1	timelog	1	0	0	0	-1	99	219.359000000055	4	207	
191031_1131	1	timelog	0	0	0	0	-1	100	220.875	5	207	
191031_1131	1	timelog	0	0	0	0	-1	101	221.280999999959	2	207	
191031_1131	1	timelog	1	0	0	0	-1	102	223.5	1	207	
191031_1131	1	timelog	0	0	0	0	-1	103	225.765000000014	5	207	
191031_1131	1	timelog	1	0	0	0	-1	104	228.405999999959	5	207	
191031_1131	1	timelog	1	0	0	0	-1	105	228.75	1	207	
191031_1131	1	timelog	0	0	0	0	-1	106	230.4529999999795	4	207	
191031_1131	1	timelog	1	0	0	0	-1	107	230.609000000055	5	207	
191031_1131	1	timelog	0	0	0	0	-1	108	235.234000000055	2	207	
191031_1131	1	timelog	0	0	0	0	-1	109	239.0779999999795	4	207	
191031_1131	1	timelog	0	0	0	0	-1	110	247.1870000000345	4	207	
191031_1131	1	timelog	0	0	0	0	-1	111	263.155999999959	4	207	
191031_1131	1	timelog	1	0	0	0	-1	112	270.765000000014	4	207	
191031_1131	1	timelog	0	0	0	0	-1	113	780.655999999959	5	193	
191031_1131	1	timelog	0	0	0	0	-1	114	851.5779999999795	4	193	
191031_1131	1	timelog	0	0	0	0	-1	115	865.7179999999935	2	193	
191031_1131	1	timelog	0	0	0	0	-1	116	868.5620000000345	10	193	
191031_1131	1	timelog	0	0	0	0	-1	117	1027.234000000055	7	193	
191031_1131	1	timelog	0	0	0	0	-1	118	1121.530999999959	1	193	
191031_1131	1	timelog	0	0	0	0	-1	119	1255.57799999998	9	193	
191031_1131	1	timelog	0	0	0	0	-1	120	1283.109000000055	6	193	
191031_1131	1	timelog	0	0	0	0	-1	121	1704.70299999998	8	193	
191031_1131	1	timelog	0	0	0	0	-1	122	1799.390000000014	3	193	
191031_1131	1	timelog	0	0	0	0	-1	123	2329.140000000014	0	2	
191031_1131	1	timelog	0	0	0	0	-1	124	2329.140000000014	0	204	
191031_1131	1	timelog	1	0	0	0	-1	125	2336.890000000014	4	205	
191031_1131	1	timelog	1	0	0	0	-1	126	2336.920999999973	2	205	
191031_1131	1	timelog	1	0	0	0	-1	127	2337.937000000035	7	205	
191031_1131	1	timelog	1	0	0	0	-1	128	2338.82799999998	8	205	
191031_1131	1	timelog	1	0	0	0	-1	129	2338.82799999998	10	205	
191031_1131	1	timelog	1	0	0	0	-1	130	2339.07799999998	6	205	
191031_1131	1	timelog	2	0	0	0	-1	131	2346.890000000014	6	205	
191031_1131	1	timelog	2	0	0	0	-1	132	2347.07799999998	4	205	
191031_1131	1	timelog	2	0	0	0	-1	133	2347.20299999998	8	205	
191031_1131	1	timelog	2	0	0	0	-1	134	2348.545999999973	2	205	
191031_1131	1	timelog	1	0	0	0	-1	135	2352.875	3	205	
191031_1131	1	timelog	1	0	0	0	-1	136	2353.795999999973	5	205	
191031_1131	1	timelog	2	0	0	0	-1	137	2354.842999999994	7	205	
191031_1131	1	timelog	3	0	0	0	-1	138	2355.375	6	205	
191031_1131	1	timelog	2	0	0	0	-1	139	2356.295999999973	10	205	
191031_1131	1	timelog	1	0	0	0	-1	140	2356.545999999973	1	205	
191031_1131	1	timelog	1	0	0	0	-1	141	2358.530999999959	9	205	
191031_1131	1	timelog	3	0	0	0	-1	142	2361.609000000055	10	205	
191031_1131	1	timelog	2	0	0	0	-1	143	2364.530999999959	1	205	
191031_1131	1	timelog	3	0	0	0	-1	144	2368.70299999998	8	205	
191031_1131	1	timelog	4	0	0	0	-1	145	2369.515000000014	6	205	
191031_1131	1	timelog	3	0	0	0	-1	146	2370.687000000035	4	205	
191031_1131	1	timelog	2	0	0	0	-1	147	2375.5	3	205	
191031_1131	1	timelog	2	0	0	0	-1	148	2384.467999999994	9	205	
191031_1131	1	timelog	5	0	0	0	-1	149	2384.670999999973	6	205	
191031_1131	1	timelog	4	0	0	0	-1	150	2398.609000000055	8	205	
191031_1131	1	timelog	4	0	0	0	-1	151	2398.95299999998	10	205	
191031_1131	1	timelog	4	0	0	0	-1	152	2402.217999999994	4	205	
191031_1131	1	timelog	2	0	0	0	-1	153	2404.342999999994	5	205	
191031_1131	1	timelog	6	0	0	0	-1	154	2407.625	6	205	
191031_1131	1	timelog	3	0	0	0	-1	155	2413.905999999959	7	205	
191031_1131	1	timelog	7	0	0	0	-1	156	2416.20299999998	6	205	
191031_1131	1	timelog	5	0	0	0	-1	157	2420.140000000014	4	205	
191031_1131	1	timelog	8	0	0	0	-1	158	2421.062000000035	6	205	
191031_1131	1	timelog	5	0	0	0	-1	159	2422.717999999994	8	205	
191031_1131	1	timelog	3	0	0	0	-1	160	2423.20299999998	3	205	
191031_1131	1	timelog	5	0	0	0	-1	161	2425.967999999994	10	205	
191031_1131	1	timelog	4	0	0	0	-1	162	2432.717999999994	7	205	
191031_1131	1	timelog	9	0	0	0	-1	163	2437.265000000014	6	205	
191031_1131	1	timelog	6	0	0	0	-1	164	2441.140000000014	8	205	
191031_1131	1	timelog	5	0	0	0	-1	165	2442.32799999998	7	205	
191031_1131	1	timelog	7	0	0	0	-1	166	2448.20299999998	8	205	
191031_1131	1	timelog	10	0	0	0	-1	167	2449.70299999998	6	205	
191031_1131	1	timelog	8	0	0	0	-1	168	2452.765000000014	8	205	
191031_1131	1	timelog	4	0	0	0	-1	169	2458.420999999973	3	205	
191031_1131	1	timelog	3	0	0	0	-1	170	2459.765000000014	2	205	
191031_1131	1	timelog	4	0	0	0	-1	171	2471.875	2	205	
191031_1131	1	timelog	6	0	0	0	-1	172	2473.140000000014	10	205	
191031_1131	1	timelog	11	0	0	0	-1	173	2477.780999999959	6	205	
191031_1131	1	timelog	6	0	0	0	-1	174	2479.375	4	205	
191031_1131	1	timelog	3	0	0	0	-1	175	2479.890000000014	9	205	
191031_1131	1	timelog	7	0	0	0	-1	176	2483.405999999959	10	205	
191031_1131	1	timelog	6	0	0	0	-1	177	2484.70299999998	7	205	
191031_1131	1	timelog	9	0	0	0	-1	178	2486.265000000014	8	205	
191031_1131	1	timelog	8	0	0	0	-1	179	2488.82799999998	10	205	
191031_1131	1	timelog	3	0	0	0	-1	180	2490.375	5	205	
191031_1131	1	timelog	12	0	0	0	-1	181	2492.062000000035	6	205	
191031_1131	1	timelog	5	0	0	0	-1	182	2495.562000000035	2	205	
191031_1131	1	timelog	7	0	0	0	-1	183	2496.812000000035	4	205	
191031_1131	1	timelog	5	0	0	0	-1	184	2502.20299999998	3	205	
191031_1131	1	timelog	8	0	0	0	-1	185	2502.937000000035	4	205	
191031_1131	1	timelog	7	0	0	0	-1	186	2503.217999999994	7	205	
191031_1131	1	timelog	8	0	0	0	-1	187	2507.937000000035	7	205	
191031_1131	1	timelog	6	0	0	0	-1	188	2514.405999999959	2	205	
191031_1131	1	timelog	9	0	0	0	-1	189	2515.765000000014	4	205	
191031_1131	1	timelog	4	0	0	0	-1	190	2516.045999999973	5	205	
191031_1131	1	timelog	9	0	0	0	-1	191	2516.170999999973	10	205	
191031_1131	1	timelog	10	0	0	0	-1	192	2522.640000000014	8	205	
191031_1131	1	timelog	5	0	0	0	-1	193	2523.82799999998	5	205	
191031_1131	1	timelog	7	0	0	0	-1	194	2527.967999999994	2	205	
191031_1131	1	timelog	8	0	0	0	-1	195	2532.875	2	205	
191031_1131	1	timelog	10	0	0	0	-1	196	2535.484000000055	10	205	
191031_1131	1	timelog	9	0	0	0	-1	197	2535.937000000035	7	205	
191031_1131	1	timelog	11	0	0	0	-1	198	2535.95299999998	8	205	
191031_1131	1	timelog	10	0	0	0	-1	199	2536.25	4	205	
191031_1131	1	timelog	9	0	0	0	-1	200	2544.795999999973	2	205	
191031_1131	1	timelog	12	0	0	0	-1	201	2545.20299999998	8	205	
191031_1131	1	timelog	3	0	0	0	-1	202	2550.295999999973	1	205	
191031_1131	1	timelog	11	0	0	0	-1	203	2551.140000000014	10	205	
191031_1131	1	timelog	11	0	0	0	-1	204	2554.842999999994	4	205	
191031_1131	1	timelog	6	0	0	0	-1	205	2556.562000000035	5	205	
191031_1131	1	timelog	12	0	0	0	-1	206	2563.920999999973	10	205	
191031_1131	1	timelog	10	0	0	0	-1	207	2563.95299999998	7	205	
191031_1131	1	timelog	6	0	0	0	-1	208	2564.562000000035	3	205	
191031_1131	1	timelog	7	0	0	0	-1	209	2565.765000000014	5	205	
191031_1131	1	timelog	10	0	0	0	-1	210	2566.734000000055	2	205	
191031_1131	1	timelog	4	0	0	0	-1	211	2566.905999999959	1	205	
191031_1131	1	timelog	4	0	0	0	-1	212	2567.405999999959	9	205	
191031_1131	1	timelog	8	0	0	0	-1	213	2571.515000000014	5	205	
191031_1131	1	timelog	12	0	0	0	-1	214	2573.07799999998	4	205	
191031_1131	1	timelog	11	0	0	0	-1	215	2574.655999999959	2	205	
191031_1131	1	timelog	5	0	0	0	-1	216	2577.95299999998	1	205	
191031_1131	1	timelog	7	0	0	0	-1	217	2583.217999999994	3	205	
191031_1131	1	timelog	12	0	0	0	-1	218	2586.405999999959	2	205	
191031_1131	1	timelog	11	0	0	0	-1	219	2588.515000000014	7	205	
191031_1131	1	timelog	9	0	0	0	-1	220	2589.795999999973	5	205	
191031_1131	1	timelog	8	0	0	0	-1	221	2591.342999999994	3	205	
191031_1131	1	timelog	12	0	0	0	-1	222	2609.765000000014	7	205	
191031_1131	1	timelog	10	0	0	0	-1	223	2620.062000000035	5	205	
191031_1131	1	timelog	9	0	0	0	-1	224	2623.655999999959	3	205	
191031_1131	1	timelog	6	0	0	0	-1	225	2630.217999999994	1	205	
191031_1131	1	timelog	11	0	0	0	-1	226	2630.640000000014	5	205	
191031_1131	1	timelog	7	0	0	0	-1	227	2638.25	1	205	
191031_1131	1	timelog	12	0	0	0	-1	228	2639.640000000014	5	205	
191031_1131	1	timelog	8	0	0	0	-1	229	2645.765000000014	1	205	
191031_1131	1	timelog	5	0	0	0	-1	230	2655.655999999959	9	205	
191031_1131	1	timelog	10	0	0	0	-1	231	2656.905999999959	3	205	
191031_1131	1	timelog	9	0	0	0	-1	232	2665.45299999998	1	205	
191031_1131	1	timelog	11	0	0	0	-1	233	2676.155999999959	3	205	
191031_1131	1	timelog	10	0	0	0	-1	234	2680.109000000055	1	205	
191031_1131	1	timelog	12	0	0	0	-1	235	2685.234000000055	3	205	
191031_1131	1	timelog	11	0	0	0	-1	236	2689.420999999973	1	205	
191031_1131	1	timelog	12	0	0	0	-1	237	2698.812000000035	1	205	
191031_1131	1	timelog	6	0	0	0	-1	238	2710.795999999973	9	205	
191031_1131	1	timelog	7	0	0	0	-1	239	2747.405999999959	9	205	
191031_1131	1	timelog	8	0	0	0	-1	240	2757.375	9	205	
191031_1131	1	timelog	9	0	0	0	-1	241	2770.890000000014	9	205	
191031_1131	1	timelog	10	0	0	0	-1	242	2803.937000000035	9	205	
191031_1131	1	timelog	11	0	0	0	-1	243	2885.687000000035	9	205	
191031_1131	1	timelog	12	0	0	0	-1	244	2911.25	9	205	
191031_1131	1	timelog	0	0	0	0	-1	245	2952.45299999998	0	2	
191031_1131	1	timelog	0	0	0	0	-1	246	2952.45299999998	0	200	
191031_1131	1	timelog	0	0	0	0	-1	247	2952.484000000055	0	186	
191031_1131	1	timelog	0	0	0	0	-1	248	2960.280999999959	7	6	
191031_1131	1	timelog	0	0	0	0	-1	249	2961.95299999998	4	6	
191031_1131	1	timelog	0	0	0	0	-1	250	2962.937000000035	8	6	
191031_1131	1	timelog	0	0	0	0	-1	251	2964.170999999973	9	6	
191031_1131	1	timelog	0	0	0	0	-1	252	2964.717999999994	10	6	
191031_1131	1	timelog	0	0	0	0	-1	253	2966.375	5	6	
191031_1131	1	timelog	0	0	0	0	-1	254	2966.390000000014	6	6	
191031_1131	1	timelog	0	0	0	0	-1	255	2968.265000000014	2	6	
191031_1131	1	timelog	0	0	0	0	-1	256	2970.045999999973	1	6	
191031_1131	1	timelog	0	0	0	0	-1	257	3021.562000000035	3	6	
191031_1131	1	timelog	0	0	0	0	-1	258	3021.562000000035	0	187	
191031_1131	1	timelog	0	0	0	0	-1	259	3021.592999999994	0	187	
191031_1131	1	timelog	1	0	0	0	-1	260	3044.484000000055	4	9	
191031_1131	1	timelog	2	0	0	0	-1	261	3045.875	10	9	
191031_1131	1	timelog	3	0	0	0	-1	262	3045.920999999973	6	9	
191031_1131	1	timelog	4	0	0	0	-1	263	3058.217999999994	7	9	
191031_1131	1	timelog	1	0	0	0	-1	264	3058.437000000035	6	7	
191031_1131	1	timelog	0	0	0	0	-1	265	3059.015000000014	9	41	
191031_1131	1	timelog	0	0	0	0	-1	266	3067.812000000035	9	43	
191031_1131	1	timelog	5	0	0	0	-1	267	3068.045999999973	3	9	
191031_1131	1	timelog	6	0	0	0	-1	268	3073.170999999973	4	10	
191031_1131	1	timelog	7	0	0	0	-1	269	3074.562000000035	2	9	
191031_1131	1	timelog	9.233999999938533	0	0	0	-1	270	3077.045999999973	9	44	
191031_1131	1	timelog	8	0	0	0	-1	271	3078.625	5	9	
191031_1131	1	timelog	0	0	0	0	-1	272	3078.82799999998	9	47	
191031_1131	1	timelog	0	0	0	0	-1	273	3080.920999999973	9	49	
191031_1131	1	timelog	9	0	0	0	-1	274	3086.515000000014	10	9	
