C:\_z-Tree\Data\Channel1\191022_1427.xls
191022_1427	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191022_1427	1	EET	0	1	1	1	1	0	0	0	0	1	4	3	4	5	6	4	4	4	4	6	4	7	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	3	1	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	5	1	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	1	1	4	
191022_1427	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	2	0	4	
191022_1427	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	3	0	4	
191022_1427	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	1	0	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	4	1	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	1	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	5	0	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	4	0	4	
191022_1427	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191022_1427	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191022_1427	1	session	1	0	0	0	0	0	0	43.54201474201474	50.34166204327495	31.56344723017224	38.36501431815937	31.68698923336361	22.13099535843218	37.98591549295775	22.87532355478861	25.14814990434095	32.26754952022895	34.67213114754098	30.74347826086957	0	0	1	1	29.14814990434095	1.5	2.5	0	1	
191022_1427	1	session	2	0	0	0	0	0	0	42.52481572481572	41.05651105651106	26.24435497987047	30.8236855351668	27.24695086081806	48.68549585899343	31.40845070422535	33.79699248120301	41.70542396135704	30	29.03395784543326	30	0	0	1	1	45.70542396135704	0.5	0.5	0	0	
191022_1427	1	session	3	0	0	0	0	0	0	34.79115479115479	39.01486882777206	17.47844827586207	34.48853294503094	40.98105346691797	36.14406051229156	31.08651911468814	50.87950138504155	26.33732722355769	29.42895086321382	20.54933795712483	33.72282608695652	0	1	2	1	30.33732722355769	0.5	0.5	1	0	
191022_1427	1	session	4	0	0	0	0	0	0	36.95555059191423	0	34.54342070715911	42.86856917152167	32.23192143636544	70.13211460173594	38.0281690140845	40.01196172248804	41.16220454074227	33.19399325773829	32.20226615236259	27.97101449275363	0	0	1	1	48.16220454074227	-2.5	2.5	1	1	
191022_1427	1	session	5	0	0	0	0	0	0	0	5.275088331115505	19.35476282163488	10.17636022514072	18.02115590985743	7.766245487364621	14.81068227547101	7.694132873166524	23.67690048470576	19.6319805523668	3.468061051441495	21.07023411371237	0	0	1	1	30.67690048470576	-0.5	0.5	1	1	
191022_1427	1	session	6	0	0	0	0	0	0	0	38.08766530639072	19.48359311077551	16.64835164835164	20.5341808276041	7.651306009768522	22.7830985915493	22.67611336032389	19.35047803078018	30.302162137965	21.61133015148371	28.86166007905138	0	0	1	1	26.35047803078018	-0.5	0.5	1	0	
191022_1427	1	session	7	0	0	0	0	0	0	22	26	26	34	42	30	14	14	26	22	30	0	1	0	3	1	30	0.5	0.5	0	0	
191022_1427	1	session	8	0	0	0	0	0	0	50.80634353361626	25.27126099706745	37.90591633117452	31.4655386031364	36.61720067453626	19.4337830134904	34.21780684104628	44.54887218045113	34.87586107921929	33.69770916334662	26.52139144342263	31.50151668351871	0	1	2	1	38.87586107921929	0.5	2.5	1	1	
191022_1427	1	session	9	0	0	0	0	0	0	62.95180495180496	25.96058393437426	31.2638145306832	30.56636960600375	28.01245021707151	24.49944459872257	33.40419877757109	21.81088314005352	26.10942702552719	30.52806954002173	53.30828779599272	33.31103678929766	0	1	2	1	33.1094270255272	0.5	2.5	1	0	
191022_1427	1	session	10	0	0	0	0	0	0	41.35135135135134	42.57086999022483	37.47931034482759	32.01420530688824	37.25463743676223	33.95625398173709	32.35833606288896	30.8796992481203	31.74573657474601	32.03431173266119	49.70829315332691	29.8494983277592	0	0	1	1	38.74573657474601	0.5	2.5	0	0	
191022_1427	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191022_1427	1	summary	Period	
191022_1427	1	summary	-1	
191022_1427	1	summary	0	
191022_1427	1	summary	1	
191022_1427	1	summary	2	
191022_1427	1	summary	3	
191022_1427	1	summary	4	
191022_1427	1	summary	5	
191022_1427	1	summary	6	
191022_1427	1	summary	7	
191022_1427	1	summary	8	
191022_1427	1	summary	9	
191022_1427	1	summary	10	
191022_1427	1	summary	11	
191022_1427	1	summary	12	
191022_1427	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191022_1427	1	timelog	0	0	0	0	0	1	0	0	1	
191022_1427	1	timelog	0	0	0	0	-1	2	13	5	192	
191022_1427	1	timelog	0	0	0	0	-1	3	18.79700000002049	10	192	
191022_1427	1	timelog	0	0	0	0	-1	4	49.21900000004098	6	192	
191022_1427	1	timelog	0	0	0	0	-1	5	73.15700000000652	3	192	
191022_1427	1	timelog	0	0	0	0	-1	6	78.46900000004098	2	192	
191022_1427	1	timelog	0	0	0	0	-1	7	80.71900000004098	1	192	
191022_1427	1	timelog	0	0	0	0	-1	8	90.17200000002049	9	192	
191022_1427	1	timelog	0	0	0	0	-1	9	93.42200000002049	8	192	
191022_1427	1	timelog	0	0	0	0	-1	10	119.7970000000205	7	192	
191022_1427	1	timelog	0	0	0	0	-1	11	142.594000000041	4	192	
191022_1427	1	timelog	0	0	0	0	-1	12	142.594000000041	0	206	
191022_1427	1	timelog	0	0	0	0	-1	13	148.954000000027	1	207	
191022_1427	1	timelog	0	0	0	0	-1	14	149.438000000082	5	207	
191022_1427	1	timelog	0	0	0	0	-1	15	149.5470000000205	9	207	
191022_1427	1	timelog	0	0	0	0	-1	16	149.734999999986	2	207	
191022_1427	1	timelog	0	0	0	0	-1	17	150.829000000027	6	207	
191022_1427	1	timelog	0	0	0	0	-1	18	151.454000000027	4	207	
191022_1427	1	timelog	0	0	0	0	-1	19	151.625	7	207	
191022_1427	1	timelog	0	0	0	0	-1	20	152.063000000082	3	207	
191022_1427	1	timelog	1	0	0	0	-1	21	152.938000000082	1	207	
191022_1427	1	timelog	0	0	0	0	-1	22	153.484999999986	5	207	
191022_1427	1	timelog	0	0	0	0	-1	23	154.234999999986	10	207	
191022_1427	1	timelog	0	0	0	0	-1	24	154.594000000041	4	207	
191022_1427	1	timelog	0	0	0	0	-1	25	154.7660000000615	2	207	
191022_1427	1	timelog	0	0	0	0	-1	26	155.438000000082	9	207	
191022_1427	1	timelog	0	0	0	0	-1	27	156.813000000082	4	207	
191022_1427	1	timelog	1	0	0	0	-1	28	157.1720000000205	1	207	
191022_1427	1	timelog	0	0	0	0	-1	29	157.5	5	207	
191022_1427	1	timelog	0	0	0	0	-1	30	157.9220000000205	6	207	
191022_1427	1	timelog	0	0	0	0	-1	31	157.984999999986	7	207	
191022_1427	1	timelog	1	0	0	0	-1	32	158.438000000082	9	207	
191022_1427	1	timelog	0	0	0	0	-1	33	158.609999999986	4	207	
191022_1427	1	timelog	0	0	0	0	-1	34	159.2660000000615	3	207	
191022_1427	1	timelog	1	0	0	0	-1	35	160.188000000082	9	207	
191022_1427	1	timelog	1	0	0	0	-1	36	161.5470000000205	5	207	
191022_1427	1	timelog	1	0	0	0	-1	37	162.0320000000065	9	207	
191022_1427	1	timelog	1	0	0	0	-1	38	162.125	2	207	
191022_1427	1	timelog	0	0	0	0	-1	39	162.2970000000205	6	207	
191022_1427	1	timelog	1	0	0	0	-1	40	162.813000000082	1	207	
191022_1427	1	timelog	1	0	0	0	-1	41	163.329000000027	3	207	
191022_1427	1	timelog	0	0	0	0	-1	42	163.344000000041	8	207	
191022_1427	1	timelog	0	0	0	0	-1	43	163.5320000000065	10	207	
191022_1427	1	timelog	0	0	0	0	-1	44	164.829000000027	4	207	
191022_1427	1	timelog	1	0	0	0	-1	45	164.9070000000065	1	207	
191022_1427	1	timelog	0	0	0	0	-1	46	165	9	207	
191022_1427	1	timelog	1	0	0	0	-1	47	165.204000000027	5	207	
191022_1427	1	timelog	1	0	0	0	-1	48	165.484999999986	2	207	
191022_1427	1	timelog	1	0	0	0	-1	49	165.859999999986	3	207	
191022_1427	1	timelog	0	0	0	0	-1	50	166.5160000000615	4	207	
191022_1427	1	timelog	1	0	0	0	-1	51	166.875	10	207	
191022_1427	1	timelog	1	0	0	0	-1	52	167.734999999986	3	207	
191022_1427	1	timelog	1	0	0	0	-1	53	167.7970000000205	2	207	
191022_1427	1	timelog	0	0	0	0	-1	54	168.1410000000615	4	207	
191022_1427	1	timelog	1	0	0	0	-1	55	168.4070000000065	7	207	
191022_1427	1	timelog	1	0	0	0	-1	56	168.484999999986	6	207	
191022_1427	1	timelog	0	0	0	0	-1	57	168.6570000000065	8	207	
191022_1427	1	timelog	0	0	0	0	-1	58	168.829000000027	9	207	
191022_1427	1	timelog	0	0	0	0	-1	59	169.329000000027	5	207	
191022_1427	1	timelog	0	0	0	0	-1	60	169.5	4	207	
191022_1427	1	timelog	0	0	0	0	-1	61	169.7970000000205	1	207	
191022_1427	1	timelog	1	0	0	0	-1	62	170.75	10	207	
191022_1427	1	timelog	0	0	0	0	-1	63	171.1570000000065	4	207	
191022_1427	1	timelog	0	0	0	0	-1	64	171.25	3	207	
191022_1427	1	timelog	0	0	0	0	-1	65	171.6410000000615	9	207	
191022_1427	1	timelog	1	0	0	0	-1	66	171.9070000000065	6	207	
191022_1427	1	timelog	0	0	0	0	-1	67	172.7660000000615	4	207	
191022_1427	1	timelog	1	0	0	0	-1	68	172.9070000000065	7	207	
191022_1427	1	timelog	0	0	0	0	-1	69	173.1410000000615	2	207	
191022_1427	1	timelog	0	0	0	0	-1	70	173.438000000082	5	207	
191022_1427	1	timelog	0	0	0	0	-1	71	173.563000000082	1	207	
191022_1427	1	timelog	0	0	0	0	-1	72	173.6570000000065	3	207	
191022_1427	1	timelog	0	0	0	0	-1	73	174.0320000000065	9	207	
191022_1427	1	timelog	1	0	0	0	-1	74	174.454000000027	10	207	
191022_1427	1	timelog	1	0	0	0	-1	75	175.1410000000615	7	207	
191022_1427	1	timelog	0	0	0	0	-1	76	176.125	6	207	
191022_1427	1	timelog	0	0	0	0	-1	77	176.188000000082	5	207	
191022_1427	1	timelog	0	0	0	0	-1	78	176.844000000041	1	207	
191022_1427	1	timelog	0	0	0	0	-1	79	177.0320000000065	3	207	
191022_1427	1	timelog	0	0	0	0	-1	80	177.6570000000065	2	207	
191022_1427	1	timelog	1	0	0	0	-1	81	178.1570000000065	9	207	
191022_1427	1	timelog	0	0	0	0	-1	82	178.5160000000615	10	207	
191022_1427	1	timelog	1	0	0	0	-1	83	178.5470000000205	8	207	
191022_1427	1	timelog	0	0	0	0	-1	84	179.125	6	207	
191022_1427	1	timelog	0	0	0	0	-1	85	179.25	7	207	
191022_1427	1	timelog	1	0	0	0	-1	86	181.609999999986	3	207	
191022_1427	1	timelog	0	0	0	0	-1	87	182.219000000041	2	207	
191022_1427	1	timelog	1	0	0	0	-1	88	182.329000000027	5	207	
191022_1427	1	timelog	0	0	0	0	-1	89	182.859999999986	6	207	
191022_1427	1	timelog	0	0	0	0	-1	90	182.954000000027	1	207	
191022_1427	1	timelog	0	0	0	0	-1	91	183.0160000000615	7	207	
191022_1427	1	timelog	1	0	0	0	-1	92	183.188000000082	8	207	
191022_1427	1	timelog	0	0	0	0	-1	93	183.219000000041	10	207	
191022_1427	1	timelog	1	0	0	0	-1	94	184.0320000000065	3	207	
191022_1427	1	timelog	1	0	0	0	-1	95	185.719000000041	8	207	
191022_1427	1	timelog	0	0	0	0	-1	96	186.094000000041	7	207	
191022_1427	1	timelog	0	0	0	0	-1	97	186.188000000082	10	207	
191022_1427	1	timelog	1	0	0	0	-1	98	187.329000000027	1	207	
191022_1427	1	timelog	1	0	0	0	-1	99	187.579000000027	2	207	
191022_1427	1	timelog	1	0	0	0	-1	100	187.609999999986	5	207	
191022_1427	1	timelog	1	0	0	0	-1	101	188.969000000041	6	207	
191022_1427	1	timelog	0	0	0	0	-1	102	189.484999999986	8	207	
191022_1427	1	timelog	1	0	0	0	-1	103	190.313000000082	2	207	
191022_1427	1	timelog	1	0	0	0	-1	104	191.25	7	207	
191022_1427	1	timelog	1	0	0	0	-1	105	191.984999999986	6	207	
191022_1427	1	timelog	0	0	0	0	-1	106	194.1720000000205	8	207	
191022_1427	1	timelog	1	0	0	0	-1	107	195.938000000082	7	207	
191022_1427	1	timelog	0	0	0	0	-1	108	196.75	10	207	
191022_1427	1	timelog	1	0	0	0	-1	109	198.5320000000065	10	207	
191022_1427	1	timelog	0	0	0	0	-1	110	199	8	207	
191022_1427	1	timelog	0	0	0	0	-1	111	201.9070000000065	8	207	
191022_1427	1	timelog	1	0	0	0	-1	112	206.094000000041	8	207	
191022_1427	1	timelog	0	0	0	0	-1	113	527.234999999986	6	193	
191022_1427	1	timelog	0	0	0	0	-1	114	550.954000000027	4	193	
191022_1427	1	timelog	0	0	0	0	-1	115	576.5320000000065	5	193	
191022_1427	1	timelog	0	0	0	0	-1	116	863.688000000082	9	193	
191022_1427	1	timelog	0	0	0	0	-1	117	921.359999999986	1	193	
191022_1427	1	timelog	0	0	0	0	-1	118	938.8910000000615	10	193	
191022_1427	1	timelog	0	0	0	0	-1	119	953	8	193	
191022_1427	1	timelog	0	0	0	0	-1	120	954.204000000027	3	193	
191022_1427	1	timelog	0	0	0	0	-1	121	1002.719000000041	2	193	
191022_1427	1	timelog	0	0	0	0	-1	122	1059.391000000062	7	193	
191022_1427	1	timelog	0	0	0	0	-1	123	2080.734999999986	0	2	
191022_1427	1	timelog	0	0	0	0	-1	124	2080.734999999986	0	204	
191022_1427	1	timelog	1	0	0	0	-1	125	2087.234999999986	5	205	
191022_1427	1	timelog	1	0	0	0	-1	126	2089.219000000041	9	205	
191022_1427	1	timelog	1	0	0	0	-1	127	2089.782000000007	3	205	
191022_1427	1	timelog	1	0	0	0	-1	128	2090.125	4	205	
191022_1427	1	timelog	1	0	0	0	-1	129	2091.766000000062	10	205	
191022_1427	1	timelog	1	0	0	0	-1	130	2091.859999999986	6	205	
191022_1427	1	timelog	2	0	0	0	-1	131	2092.344000000041	5	205	
191022_1427	1	timelog	1	0	0	0	-1	132	2092.829000000027	8	205	
191022_1427	1	timelog	1	0	0	0	-1	133	2095.875	7	205	
191022_1427	1	timelog	1	0	0	0	-1	134	2096.141000000062	1	205	
191022_1427	1	timelog	1	0	0	0	-1	135	2096.469000000041	2	205	
191022_1427	1	timelog	2	0	0	0	-1	136	2098.907000000007	10	205	
191022_1427	1	timelog	2	0	0	0	-1	137	2100.907000000007	3	205	
191022_1427	1	timelog	2	0	0	0	-1	138	2102.047000000021	6	205	
191022_1427	1	timelog	2	0	0	0	-1	139	2102.109999999986	9	205	
191022_1427	1	timelog	3	0	0	0	-1	140	2105.672000000021	10	205	
191022_1427	1	timelog	2	0	0	0	-1	141	2105.672000000021	4	205	
191022_1427	1	timelog	2	0	0	0	-1	142	2106.719000000041	2	205	
191022_1427	1	timelog	2	0	0	0	-1	143	2106.75	7	205	
191022_1427	1	timelog	2	0	0	0	-1	144	2108.109999999986	8	205	
191022_1427	1	timelog	3	0	0	0	-1	145	2110.547000000021	3	205	
191022_1427	1	timelog	4	0	0	0	-1	146	2114.844000000041	10	205	
191022_1427	1	timelog	2	0	0	0	-1	147	2120.594000000041	1	205	
191022_1427	1	timelog	5	0	0	0	-1	148	2127.516000000062	10	205	
191022_1427	1	timelog	4	0	0	0	-1	149	2128.609999999986	3	205	
191022_1427	1	timelog	3	0	0	0	-1	150	2135.188000000082	7	205	
191022_1427	1	timelog	5	0	0	0	-1	151	2139.782000000007	3	205	
191022_1427	1	timelog	3	0	0	0	-1	152	2139.984999999986	8	205	
191022_1427	1	timelog	6	0	0	0	-1	153	2152.016000000062	10	205	
191022_1427	1	timelog	3	0	0	0	-1	154	2156	9	205	
191022_1427	1	timelog	4	0	0	0	-1	155	2157.891000000062	7	205	
191022_1427	1	timelog	6	0	0	0	-1	156	2162	3	205	
191022_1427	1	timelog	7	0	0	0	-1	157	2165.969000000041	10	205	
191022_1427	1	timelog	7	0	0	0	-1	158	2169.219000000041	3	205	
191022_1427	1	timelog	4	0	0	0	-1	159	2170.532000000007	8	205	
191022_1427	1	timelog	3	0	0	0	-1	160	2171.032000000007	1	205	
191022_1427	1	timelog	8	0	0	0	-1	161	2172.438000000082	10	205	
191022_1427	1	timelog	4	0	0	0	-1	162	2174.969000000041	9	205	
191022_1427	1	timelog	8	0	0	0	-1	163	2175.484999999986	3	205	
191022_1427	1	timelog	4	0	0	0	-1	164	2183.047000000021	1	205	
191022_1427	1	timelog	5	0	0	0	-1	165	2183.25	7	205	
191022_1427	1	timelog	9	0	0	0	-1	166	2183.282000000007	10	205	
191022_1427	1	timelog	5	0	0	0	-1	167	2183.641000000062	8	205	
191022_1427	1	timelog	3	0	0	0	-1	168	2186.797000000021	2	205	
191022_1427	1	timelog	9	0	0	0	-1	169	2193.141000000062	3	205	
191022_1427	1	timelog	10	0	0	0	-1	170	2194.172000000021	10	205	
191022_1427	1	timelog	5	0	0	0	-1	171	2195.422000000021	1	205	
191022_1427	1	timelog	6	0	0	0	-1	172	2199.969000000041	8	205	
191022_1427	1	timelog	3	0	0	0	-1	173	2204.672000000021	4	205	
191022_1427	1	timelog	10	0	0	0	-1	174	2205.454000000027	3	205	
191022_1427	1	timelog	6	0	0	0	-1	175	2206.579000000027	7	205	
191022_1427	1	timelog	4	0	0	0	-1	176	2206.907000000007	2	205	
191022_1427	1	timelog	11	0	0	0	-1	177	2208.032000000007	10	205	
191022_1427	1	timelog	3	0	0	0	-1	178	2213.125	5	205	
191022_1427	1	timelog	5	0	0	0	-1	179	2213.859999999986	9	205	
191022_1427	1	timelog	7	0	0	0	-1	180	2213.984999999986	8	205	
191022_1427	1	timelog	5	0	0	0	-1	181	2218.375	2	205	
191022_1427	1	timelog	12	0	0	0	-1	182	2218.438000000082	10	205	
191022_1427	1	timelog	11	0	0	0	-1	183	2219.579000000027	3	205	
191022_1427	1	timelog	4	0	0	0	-1	184	2220.375	4	205	
191022_1427	1	timelog	8	0	0	0	-1	185	2220.782000000007	8	205	
191022_1427	1	timelog	7	0	0	0	-1	186	2221.375	7	205	
191022_1427	1	timelog	4	0	0	0	-1	187	2223.516000000062	5	205	
191022_1427	1	timelog	8	0	0	0	-1	188	2229.954000000027	7	205	
191022_1427	1	timelog	12	0	0	0	-1	189	2232.907000000007	3	205	
191022_1427	1	timelog	6	0	0	0	-1	190	2233.859999999986	9	205	
191022_1427	1	timelog	5	0	0	0	-1	191	2236.063000000082	5	205	
191022_1427	1	timelog	9	0	0	0	-1	192	2236.547000000021	8	205	
191022_1427	1	timelog	7	0	0	0	-1	193	2240.359999999986	9	205	
191022_1427	1	timelog	8	0	0	0	-1	194	2243.344000000041	9	205	
191022_1427	1	timelog	9	0	0	0	-1	195	2244.797000000021	7	205	
191022_1427	1	timelog	6	0	0	0	-1	196	2246.25	1	205	
191022_1427	1	timelog	5	0	0	0	-1	197	2250.234999999986	4	205	
191022_1427	1	timelog	9	0	0	0	-1	198	2253.188000000082	9	205	
191022_1427	1	timelog	10	0	0	0	-1	199	2255.079000000027	8	205	
191022_1427	1	timelog	7	0	0	0	-1	200	2255.484999999986	1	205	
191022_1427	1	timelog	10	0	0	0	-1	201	2257.359999999986	7	205	
191022_1427	1	timelog	8	0	0	0	-1	202	2262.891000000062	1	205	
191022_1427	1	timelog	11	0	0	0	-1	203	2265.375	8	205	
191022_1427	1	timelog	11	0	0	0	-1	204	2265.375	7	205	
191022_1427	1	timelog	6	0	0	0	-1	205	2265.719000000041	5	205	
191022_1427	1	timelog	7	0	0	0	-1	206	2271.359999999986	5	205	
191022_1427	1	timelog	12	0	0	0	-1	207	2273.844000000041	8	205	
191022_1427	1	timelog	8	0	0	0	-1	208	2274.594000000041	5	205	
191022_1427	1	timelog	10	0	0	0	-1	209	2278.188000000082	9	205	
191022_1427	1	timelog	6	0	0	0	-1	210	2278.734999999986	4	205	
191022_1427	1	timelog	6	0	0	0	-1	211	2279.344000000041	2	205	
191022_1427	1	timelog	12	0	0	0	-1	212	2280.469000000041	7	205	
191022_1427	1	timelog	9	0	0	0	-1	213	2283.829000000027	1	205	
191022_1427	1	timelog	7	0	0	0	-1	214	2285.704000000027	2	205	
191022_1427	1	timelog	9	0	0	0	-1	215	2288.954000000027	5	205	
191022_1427	1	timelog	8	0	0	0	-1	216	2290.438000000082	2	205	
191022_1427	1	timelog	11	0	0	0	-1	217	2291.969000000041	9	205	
191022_1427	1	timelog	7	0	0	0	-1	218	2294.172000000021	4	205	
191022_1427	1	timelog	9	0	0	0	-1	219	2297.719000000041	2	205	
191022_1427	1	timelog	12	0	0	0	-1	220	2298.907000000007	9	205	
191022_1427	1	timelog	8	0	0	0	-1	221	2301.266000000062	4	205	
191022_1427	1	timelog	10	0	0	0	-1	222	2301.641000000062	5	205	
191022_1427	1	timelog	10	0	0	0	-1	223	2306.829000000027	1	205	
191022_1427	1	timelog	3	0	0	0	-1	224	2311.157000000007	6	205	
191022_1427	1	timelog	10	0	0	0	-1	225	2311.234999999986	2	205	
191022_1427	1	timelog	11	0	0	0	-1	226	2317.829000000027	5	205	
191022_1427	1	timelog	9	0	0	0	-1	227	2318.063000000082	4	205	
191022_1427	1	timelog	11	0	0	0	-1	228	2319.109999999986	1	205	
191022_1427	1	timelog	11	0	0	0	-1	229	2320.109999999986	2	205	
191022_1427	1	timelog	12	0	0	0	-1	230	2329.532000000007	2	205	
191022_1427	1	timelog	12	0	0	0	-1	231	2330.594000000041	5	205	
191022_1427	1	timelog	4	0	0	0	-1	232	2333.016000000062	6	205	
191022_1427	1	timelog	12	0	0	0	-1	233	2334.063000000082	1	205	
191022_1427	1	timelog	10	0	0	0	-1	234	2340.688000000082	4	205	
191022_1427	1	timelog	5	0	0	0	-1	235	2346.157000000007	6	205	
191022_1427	1	timelog	11	0	0	0	-1	236	2352.297000000021	4	205	
191022_1427	1	timelog	12	0	0	0	-1	237	2362.954000000027	4	205	
191022_1427	1	timelog	6	0	0	0	-1	238	2380.172000000021	6	205	
191022_1427	1	timelog	7	0	0	0	-1	239	2388.594000000041	6	205	
191022_1427	1	timelog	8	0	0	0	-1	240	2395.782000000007	6	205	
191022_1427	1	timelog	9	0	0	0	-1	241	2407	6	205	
191022_1427	1	timelog	10	0	0	0	-1	242	2418.063000000082	6	205	
191022_1427	1	timelog	11	0	0	0	-1	243	2422.079000000027	6	205	
191022_1427	1	timelog	12	0	0	0	-1	244	2428.313000000082	6	205	
191022_1427	1	timelog	0	0	0	0	-1	245	2496.016000000062	0	2	
191022_1427	1	timelog	0	0	0	0	-1	246	2496.032000000007	0	200	
191022_1427	1	timelog	0	0	0	0	-1	247	2496.063000000082	0	186	
191022_1427	1	timelog	0	0	0	0	-1	248	2502.484999999986	5	6	
191022_1427	1	timelog	0	0	0	0	-1	249	2502.782000000007	2	6	
191022_1427	1	timelog	0	0	0	0	-1	250	2504.532000000007	6	6	
191022_1427	1	timelog	0	0	0	0	-1	251	2508.688000000082	10	6	
191022_1427	1	timelog	0	0	0	0	-1	252	2508.719000000041	3	6	
191022_1427	1	timelog	0	0	0	0	-1	253	2509.172000000021	9	6	
191022_1427	1	timelog	0	0	0	0	-1	254	2512.344000000041	4	6	
191022_1427	1	timelog	0	0	0	0	-1	255	2514.375	7	6	
191022_1427	1	timelog	0	0	0	0	-1	256	2521.844000000041	1	6	
191022_1427	1	timelog	0	0	0	0	-1	257	2529.282000000007	8	6	
191022_1427	1	timelog	0	0	0	0	-1	258	2529.282000000007	0	187	
191022_1427	1	timelog	0	0	0	0	-1	259	2529.313000000082	0	187	
191022_1427	1	timelog	1	0	0	0	-1	260	2540.922000000021	2	9	
191022_1427	1	timelog	2	0	0	0	-1	261	2548.047000000021	5	10	
191022_1427	1	timelog	1	0	0	0	-1	262	2558.032000000007	6	11	
191022_1427	1	timelog	4	0	0	0	-1	263	2558.938000000082	2	10	
191022_1427	1	timelog	5	0	0	0	-1	264	2559.609999999986	4	10	
191022_1427	1	timelog	0	0	0	0	-1	265	2563.579000000027	7	17	
191022_1427	1	timelog	4	0	0	0	-1	266	2564.579000000027	3	12	
191022_1427	1	timelog	8	0	0	0	-1	267	2565.172000000021	9	10	
191022_1427	1	timelog	9	0	0	0	-1	268	2568.032000000007	5	9	
191022_1427	1	timelog	1	0	0	0	-1	269	2568.516000000062	2	8	
191022_1427	1	timelog	4	0	0	0	-1	270	2568.609999999986	10	12	
191022_1427	1	timelog	4	0	0	0	-1	271	2574.359999999986	5	12	
191022_1427	1	timelog	0	0	0	0	-1	272	2575.016000000062	7	41	
191022_1427	1	timelog	2	0	0	0	-1	273	2578.813000000082	4	12	
191022_1427	1	timelog	2	0	0	0	-1	274	2593.719000000041	6	12	
