C:\_z-Tree\Data\Channel1\191017_1034.xls
191017_1034	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191017_1034	1	EET	0	0	0	0	0	0	0	0	1	1	4	4	4	4	4	4	4	4	5	6	4	4	4	4	4	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	3	1	4	
191017_1034	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	3	0	4	
191017_1034	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	4	1	4	
191017_1034	1	EET	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	0	4	
191017_1034	1	EET	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	4	0	4	
191017_1034	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	1	1	4	
191017_1034	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	5	1	4	
191017_1034	1	EET	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	0	4	
191017_1034	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	5	0	4	
191017_1034	1	EET	1	0	1	1	1	0	1	0	1	0	2	4	4	5	6	4	3	4	5	4	7	4	7	7	7	4	1	4	1	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	2	1	4	
191017_1034	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191017_1034	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191017_1034	1	session	1	0	0	0	0	0	0	25.2984441301273	31.52173913043478	28.14711818793452	30	28.94425181249156	26.09731975509184	37.52338961178621	30	30	25.08489368454459	30	0	0	0	1	1	34.94425181249156	-2.5	0.5	1	1	
191017_1034	1	session	2	0	0	0	0	0	0	57.17996505532905	55.48387096774194	36.97209496043315	36.56565656565657	30	30.67249121502905	35.80707602968061	29.48088071348942	30.13871662045819	29.18248175182482	32.96368038740921	21.78795180722891	0	0	1	1	31	0.5	2.5	1	0	
191017_1034	1	session	3	0	0	0	0	0	0	21.0936093609361	28.20224719101124	35.30521137026239	31.17521367521368	36.01834725536993	29.40790728476821	37.05118829981718	16.95875733927909	39.33226324237561	27.27641498145268	26.00247497403487	30	0	0	1	1	42.01834725536993	0.5	0.5	1	1	
191017_1034	1	session	4	0	0	0	0	0	0	22.75247524752475	26.08695652173913	32.73574535200497	28.20655534941249	32.54984987296944	60.87683567880792	28.92882809052512	40.53713093825297	34.13376860006073	35.04744525547445	39.77412875717961	49.93956471045472	0	1	2	1	33.54984987296944	-77778	-77778	0	0	
191017_1034	1	session	5	0	0	0	0	0	0	20.81768521679754	11.0625	39.12938574444556	27.14817668207498	22.18660075008524	22.92046508127636	25.93029170972101	21.67708601320641	22.06737509397159	21.4222726376011	26.07775664180221	21.68729797237732	0	0	1	1	23.18660075008524	-2.5	0.5	0	0	
191017_1034	1	session	6	0	0	0	0	0	0	24.51595159515951	30.10135135135135	30.79293883958607	30.32564450474898	30.32219570405728	15.35114191106907	34.18564068472661	29.70231636318592	33.78750463020126	33.60353438340376	31.08367206074086	15.89156626506025	0	0	1	1	36.32219570405728	-0.5	0.5	1	1	
191017_1034	1	session	7	0	0	0	0	0	0	14	34	18	14	18	34	26	26	26	34	22	30	1	0	3	1	24	0.5	2.5	0	0	
191017_1034	1	session	8	0	0	0	0	0	0	36.30865260439088	27.27941176470588	18.32927013169799	33.14478114478115	38.6718099572626	3.260892296967594	31.64997296392615	41.73596673596673	36.72606578338819	48.33712442709215	32.32123157155751	68.16556389492395	0	1	2	1	42.6718099572626	0.5	-0.5	0	0	
191017_1034	1	session	9	0	0	0	0	0	0	36.35487232933819	33.8961038961039	27.02552215265497	28.91208597603946	24.1563723150358	29.92425878757005	29.13055167222283	29.07808857808857	27.21218537618251	29.07954967215143	28.59913749874636	30.5136334812936	0	1	2	1	25.1563723150358	-0.5	0.5	0	0	
191017_1034	1	session	10	0	0	0	0	0	0	10.8272117534334	31.40625	25.36403392525842	27.03179334326877	31.9446812137743	35.53053869724225	18.74397347051572	29.1771526001705	16.55373292095682	25.68130644562662	27.57221293864884	24.63108433734939	0	0	1	1	35.9446812137743	-77778	-77778	1	1	
191017_1034	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191017_1034	1	summary	Period	
191017_1034	1	summary	-1	
191017_1034	1	summary	0	
191017_1034	1	summary	1	
191017_1034	1	summary	2	
191017_1034	1	summary	3	
191017_1034	1	summary	4	
191017_1034	1	summary	5	
191017_1034	1	summary	6	
191017_1034	1	summary	7	
191017_1034	1	summary	8	
191017_1034	1	summary	9	
191017_1034	1	summary	10	
191017_1034	1	summary	11	
191017_1034	1	summary	12	
191017_1034	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191017_1034	1	timelog	0	0	0	0	0	1	0	0	1	
191017_1034	1	timelog	0	0	0	0	-1	2	45.60899999999674	3	192	
191017_1034	1	timelog	0	0	0	0	-1	3	48.90600000000268	9	192	
191017_1034	1	timelog	0	0	0	0	-1	4	49.43700000000536	2	192	
191017_1034	1	timelog	0	0	0	0	-1	5	56.07799999999406	4	192	
191017_1034	1	timelog	0	0	0	0	-1	6	57.18700000000536	10	192	
191017_1034	1	timelog	0	0	0	0	-1	7	81.625	5	192	
191017_1034	1	timelog	0	0	0	0	-1	8	84.03100000000268	8	192	
191017_1034	1	timelog	0	0	0	0	-1	9	86	6	192	
191017_1034	1	timelog	0	0	0	0	-1	10	102.2960000000021	1	192	
191017_1034	1	timelog	0	0	0	0	-1	11	168.625	7	192	
191017_1034	1	timelog	0	0	0	0	-1	12	168.625	0	206	
191017_1034	1	timelog	0	0	0	0	-1	13	174.9370000000054	1	207	
191017_1034	1	timelog	0	0	0	0	-1	14	175.1399999999994	3	207	
191017_1034	1	timelog	0	0	0	0	-1	15	175.5460000000021	2	207	
191017_1034	1	timelog	0	0	0	0	-1	16	176.1399999999994	9	207	
191017_1034	1	timelog	0	0	0	0	-1	17	176.5779999999941	4	207	
191017_1034	1	timelog	0	0	0	0	-1	18	177.1710000000021	6	207	
191017_1034	1	timelog	0	0	0	0	-1	19	178.2960000000021	8	207	
191017_1034	1	timelog	0	0	0	0	-1	20	178.4210000000021	3	207	
191017_1034	1	timelog	0	0	0	0	-1	21	178.5310000000027	1	207	
191017_1034	1	timelog	1	0	0	0	-1	22	178.9839999999967	10	207	
191017_1034	1	timelog	0	0	0	0	-1	23	179.4839999999967	5	207	
191017_1034	1	timelog	0	0	0	0	-1	24	180.625	2	207	
191017_1034	1	timelog	0	0	0	0	-1	25	180.7179999999935	1	207	
191017_1034	1	timelog	0	0	0	0	-1	26	182.0929999999935	1	207	
191017_1034	1	timelog	0	0	0	0	-1	27	182.4839999999967	9	207	
191017_1034	1	timelog	1	0	0	0	-1	28	182.7339999999967	3	207	
191017_1034	1	timelog	0	0	0	0	-1	29	182.8589999999967	6	207	
191017_1034	1	timelog	0	0	0	0	-1	30	184.4529999999941	1	207	
191017_1034	1	timelog	1	0	0	0	-1	31	184.7649999999994	2	207	
191017_1034	1	timelog	1	0	0	0	-1	32	184.7810000000027	3	207	
191017_1034	1	timelog	0	0	0	0	-1	33	185.5929999999935	10	207	
191017_1034	1	timelog	0	0	0	0	-1	34	185.7179999999935	5	207	
191017_1034	1	timelog	0	0	0	0	-1	35	185.7960000000021	9	207	
191017_1034	1	timelog	0	0	0	0	-1	36	187.0460000000021	8	207	
191017_1034	1	timelog	1	0	0	0	-1	37	187.2339999999967	3	207	
191017_1034	1	timelog	0	0	0	0	-1	38	188.3589999999967	4	207	
191017_1034	1	timelog	0	0	0	0	-1	39	189.3279999999941	6	207	
191017_1034	1	timelog	0	0	0	0	-1	40	190.1560000000027	3	207	
191017_1034	1	timelog	1	0	0	0	-1	41	190.3429999999935	9	207	
191017_1034	1	timelog	0	0	0	0	-1	42	190.6089999999967	5	207	
191017_1034	1	timelog	1	0	0	0	-1	43	190.75	2	207	
191017_1034	1	timelog	0	0	0	0	-1	44	190.8589999999967	1	207	
191017_1034	1	timelog	1	0	0	0	-1	45	192.2029999999941	4	207	
191017_1034	1	timelog	1	0	0	0	-1	46	192.2029999999941	8	207	
191017_1034	1	timelog	0	0	0	0	-1	47	192.6089999999967	3	207	
191017_1034	1	timelog	1	0	0	0	-1	48	193.1870000000054	9	207	
191017_1034	1	timelog	0	0	0	0	-1	49	193.9529999999941	5	207	
191017_1034	1	timelog	1	0	0	0	-1	50	193.9679999999935	6	207	
191017_1034	1	timelog	1	0	0	0	-1	51	194.5149999999994	2	207	
191017_1034	1	timelog	0	0	0	0	-1	52	194.5460000000021	1	207	
191017_1034	1	timelog	0	0	0	0	-1	53	194.8899999999994	3	207	
191017_1034	1	timelog	1	0	0	0	-1	54	194.9679999999935	8	207	
191017_1034	1	timelog	1	0	0	0	-1	55	196.5149999999994	10	207	
191017_1034	1	timelog	1	0	0	0	-1	56	196.8589999999967	6	207	
191017_1034	1	timelog	1	0	0	0	-1	57	196.875	4	207	
191017_1034	1	timelog	0	0	0	0	-1	58	197.0310000000027	9	207	
191017_1034	1	timelog	1	0	0	0	-1	59	197.1710000000021	8	207	
191017_1034	1	timelog	0	0	0	0	-1	60	197.5779999999941	2	207	
191017_1034	1	timelog	0	0	0	0	-1	61	198	5	207	
191017_1034	1	timelog	0	0	0	0	-1	62	198.1560000000027	1	207	
191017_1034	1	timelog	1	0	0	0	-1	63	198.8279999999941	10	207	
191017_1034	1	timelog	1	0	0	0	-1	64	198.8899999999994	3	207	
191017_1034	1	timelog	0	0	0	0	-1	65	199	9	207	
191017_1034	1	timelog	1	0	0	0	-1	66	199.75	4	207	
191017_1034	1	timelog	0	0	0	0	-1	67	200	6	207	
191017_1034	1	timelog	0	0	0	0	-1	68	200.125	2	207	
191017_1034	1	timelog	1	0	0	0	-1	69	200.7179999999935	3	207	
191017_1034	1	timelog	1	0	0	0	-1	70	201.25	1	207	
191017_1034	1	timelog	1	0	0	0	-1	71	201.6089999999967	10	207	
191017_1034	1	timelog	0	0	0	0	-1	72	202.3899999999994	9	207	
191017_1034	1	timelog	0	0	0	0	-1	73	202.7029999999941	7	207	
191017_1034	1	timelog	0	0	0	0	-1	74	203	5	207	
191017_1034	1	timelog	0	0	0	0	-1	75	203.3120000000054	2	207	
191017_1034	1	timelog	0	0	0	0	-1	76	203.375	8	207	
191017_1034	1	timelog	0	0	0	0	-1	77	203.9060000000027	6	207	
191017_1034	1	timelog	1	0	0	0	-1	78	204.3899999999994	1	207	
191017_1034	1	timelog	0	0	0	0	-1	79	205.3429999999935	10	207	
191017_1034	1	timelog	0	0	0	0	-1	80	205.7029999999941	8	207	
191017_1034	1	timelog	0	0	0	0	-1	81	207.2339999999967	2	207	
191017_1034	1	timelog	0	0	0	0	-1	82	207.25	6	207	
191017_1034	1	timelog	0	0	0	0	-1	83	207.2960000000021	4	207	
191017_1034	1	timelog	1	0	0	0	-1	84	207.6089999999967	9	207	
191017_1034	1	timelog	1	0	0	0	-1	85	208.2960000000021	8	207	
191017_1034	1	timelog	0	0	0	0	-1	86	208.5310000000027	5	207	
191017_1034	1	timelog	0	0	0	0	-1	87	210.4679999999935	7	207	
191017_1034	1	timelog	1	0	0	0	-1	88	210.7029999999941	8	207	
191017_1034	1	timelog	0	0	0	0	-1	89	211.1399999999994	2	207	
191017_1034	1	timelog	1	0	0	0	-1	90	211.4060000000027	9	207	
191017_1034	1	timelog	0	0	0	0	-1	91	211.7810000000027	4	207	
191017_1034	1	timelog	0	0	0	0	-1	92	212.0149999999994	5	207	
191017_1034	1	timelog	1	0	0	0	-1	93	213.2029999999941	10	207	
191017_1034	1	timelog	1	0	0	0	-1	94	214.3279999999941	7	207	
191017_1034	1	timelog	1	0	0	0	-1	95	214.6870000000054	6	207	
191017_1034	1	timelog	1	0	0	0	-1	96	214.7179999999935	5	207	
191017_1034	1	timelog	1	0	0	0	-1	97	214.8120000000054	8	207	
191017_1034	1	timelog	0	0	0	0	-1	98	215.3589999999967	4	207	
191017_1034	1	timelog	0	0	0	0	-1	99	215.375	10	207	
191017_1034	1	timelog	1	0	0	0	-1	100	217.6710000000021	10	207	
191017_1034	1	timelog	1	0	0	0	-1	101	218.2179999999935	6	207	
191017_1034	1	timelog	1	0	0	0	-1	102	219.0149999999994	7	207	
191017_1034	1	timelog	1	0	0	0	-1	103	219.0779999999941	5	207	
191017_1034	1	timelog	0	0	0	0	-1	104	220.7810000000027	10	207	
191017_1034	1	timelog	1	0	0	0	-1	105	222.1399999999994	7	207	
191017_1034	1	timelog	1	0	0	0	-1	106	224.8120000000054	4	207	
191017_1034	1	timelog	0	0	0	0	-1	107	226.5779999999941	7	207	
191017_1034	1	timelog	0	0	0	0	-1	108	228.7810000000027	4	207	
191017_1034	1	timelog	0	0	0	0	-1	109	232.5929999999935	7	207	
191017_1034	1	timelog	0	0	0	0	-1	110	236.3899999999994	7	207	
191017_1034	1	timelog	0	0	0	0	-1	111	241.5460000000021	7	207	
191017_1034	1	timelog	1	0	0	0	-1	112	244.9060000000027	7	207	
191017_1034	1	timelog	0	0	0	0	-1	113	551.8899999999994	9	193	
191017_1034	1	timelog	0	0	0	0	-1	114	739.9529999999941	3	193	
191017_1034	1	timelog	0	0	0	0	-1	115	981.0460000000021	5	193	
191017_1034	1	timelog	0	0	0	0	-1	116	999.1870000000054	4	193	
191017_1034	1	timelog	0	0	0	0	-1	117	1013.25	8	193	
191017_1034	1	timelog	0	0	0	0	-1	118	1135.437000000005	6	193	
191017_1034	1	timelog	0	0	0	0	-1	119	1165.733999999997	10	193	
191017_1034	1	timelog	0	0	0	0	-1	120	1244.092999999994	7	193	
191017_1034	1	timelog	0	0	0	0	-1	121	1288.437000000005	2	193	
191017_1034	1	timelog	0	0	0	0	-1	122	1488.858999999997	1	193	
191017_1034	1	timelog	0	0	0	0	-1	123	2020.421000000002	0	2	
191017_1034	1	timelog	0	0	0	0	-1	124	2020.421000000002	0	204	
191017_1034	1	timelog	1	0	0	0	-1	125	2026.671000000002	3	205	
191017_1034	1	timelog	1	0	0	0	-1	126	2030	10	205	
191017_1034	1	timelog	1	0	0	0	-1	127	2031.639999999999	2	205	
191017_1034	1	timelog	1	0	0	0	-1	128	2032.139999999999	4	205	
191017_1034	1	timelog	1	0	0	0	-1	129	2036.217999999994	6	205	
191017_1034	1	timelog	1	0	0	0	-1	130	2036.656000000003	5	205	
191017_1034	1	timelog	2	0	0	0	-1	131	2038.781000000003	3	205	
191017_1034	1	timelog	1	0	0	0	-1	132	2039.108999999997	1	205	
191017_1034	1	timelog	2	0	0	0	-1	133	2046.389999999999	6	205	
191017_1034	1	timelog	2	0	0	0	-1	134	2046.5	10	205	
191017_1034	1	timelog	2	0	0	0	-1	135	2049.812000000005	2	205	
191017_1034	1	timelog	1	0	0	0	-1	136	2050.608999999997	7	205	
191017_1034	1	timelog	2	0	0	0	-1	137	2051.577999999994	1	205	
191017_1034	1	timelog	1	0	0	0	-1	138	2053.296000000002	9	205	
191017_1034	1	timelog	2	0	0	0	-1	139	2057.077999999994	4	205	
191017_1034	1	timelog	2	0	0	0	-1	140	2062.077999999994	5	205	
191017_1034	1	timelog	3	0	0	0	-1	141	2063.139999999999	10	205	
191017_1034	1	timelog	2	0	0	0	-1	142	2071.687000000005	9	205	
191017_1034	1	timelog	3	0	0	0	-1	143	2073.375	1	205	
191017_1034	1	timelog	2	0	0	0	-1	144	2073.858999999997	7	205	
191017_1034	1	timelog	3	0	0	0	-1	145	2073.983999999997	2	205	
191017_1034	1	timelog	1	0	0	0	-1	146	2077.889999999999	8	205	
191017_1034	1	timelog	3	0	0	0	-1	147	2078.421000000002	3	205	
191017_1034	1	timelog	4	0	0	0	-1	148	2085.264999999999	10	205	
191017_1034	1	timelog	4	0	0	0	-1	149	2085.702999999994	1	205	
191017_1034	1	timelog	3	0	0	0	-1	150	2089.233999999997	4	205	
191017_1034	1	timelog	4	0	0	0	-1	151	2090.733999999997	2	205	
191017_1034	1	timelog	4	0	0	0	-1	152	2095.531000000003	3	205	
191017_1034	1	timelog	5	0	0	0	-1	153	2102.233999999997	1	205	
191017_1034	1	timelog	5	0	0	0	-1	154	2103.406000000003	10	205	
191017_1034	1	timelog	5	0	0	0	-1	155	2105.062000000005	2	205	
191017_1034	1	timelog	5	0	0	0	-1	156	2110.546000000002	3	205	
191017_1034	1	timelog	4	0	0	0	-1	157	2111.483999999997	4	205	
191017_1034	1	timelog	6	0	0	0	-1	158	2116.952999999994	10	205	
191017_1034	1	timelog	5	0	0	0	-1	159	2119.187000000005	4	205	
191017_1034	1	timelog	6	0	0	0	-1	160	2120.639999999999	1	205	
191017_1034	1	timelog	3	0	0	0	-1	161	2125.233999999997	9	205	
191017_1034	1	timelog	7	0	0	0	-1	162	2126.046000000002	10	205	
191017_1034	1	timelog	6	0	0	0	-1	163	2127.452999999994	3	205	
191017_1034	1	timelog	7	0	0	0	-1	164	2130.014999999999	1	205	
191017_1034	1	timelog	6	0	0	0	-1	165	2132.717999999994	2	205	
191017_1034	1	timelog	8	0	0	0	-1	166	2132.967999999994	10	205	
191017_1034	1	timelog	7	0	0	0	-1	167	2133.264999999999	3	205	
191017_1034	1	timelog	2	0	0	0	-1	168	2136.092999999994	8	205	
191017_1034	1	timelog	8	0	0	0	-1	169	2136.296000000002	1	205	
191017_1034	1	timelog	7	0	0	0	-1	170	2139.577999999994	2	205	
191017_1034	1	timelog	8	0	0	0	-1	171	2140	3	205	
191017_1034	1	timelog	4	0	0	0	-1	172	2142.389999999999	9	205	
191017_1034	1	timelog	8	0	0	0	-1	173	2143.889999999999	2	205	
191017_1034	1	timelog	9	0	0	0	-1	174	2150.625	10	205	
191017_1034	1	timelog	9	0	0	0	-1	175	2151.608999999997	3	205	
191017_1034	1	timelog	5	0	0	0	-1	176	2157.875	9	205	
191017_1034	1	timelog	9	0	0	0	-1	177	2158.546000000002	1	205	
191017_1034	1	timelog	9	0	0	0	-1	178	2159.014999999999	2	205	
191017_1034	1	timelog	10	0	0	0	-1	179	2159.077999999994	3	205	
191017_1034	1	timelog	11	0	0	0	-1	180	2170.625	3	205	
191017_1034	1	timelog	3	0	0	0	-1	181	2171.358999999997	8	205	
191017_1034	1	timelog	10	0	0	0	-1	182	2178.952999999994	10	205	
191017_1034	1	timelog	10	0	0	0	-1	183	2179.062000000005	2	205	
191017_1034	1	timelog	6	0	0	0	-1	184	2180.264999999999	9	205	
191017_1034	1	timelog	10	0	0	0	-1	185	2180.858999999997	1	205	
191017_1034	1	timelog	12	0	0	0	-1	186	2187.202999999994	3	205	
191017_1034	1	timelog	11	0	0	0	-1	187	2188.702999999994	1	205	
191017_1034	1	timelog	7	0	0	0	-1	188	2189.5	9	205	
191017_1034	1	timelog	4	0	0	0	-1	189	2193.671000000002	8	205	
191017_1034	1	timelog	11	0	0	0	-1	190	2194.889999999999	10	205	
191017_1034	1	timelog	8	0	0	0	-1	191	2195.75	9	205	
191017_1034	1	timelog	12	0	0	0	-1	192	2198.562000000005	1	205	
191017_1034	1	timelog	9	0	0	0	-1	193	2199.858999999997	9	205	
191017_1034	1	timelog	3	0	0	0	-1	194	2201.108999999997	6	205	
191017_1034	1	timelog	12	0	0	0	-1	195	2204.358999999997	10	205	
191017_1034	1	timelog	5	0	0	0	-1	196	2207.358999999997	8	205	
191017_1034	1	timelog	11	0	0	0	-1	197	2207.781000000003	2	205	
191017_1034	1	timelog	10	0	0	0	-1	198	2211.156000000003	9	205	
191017_1034	1	timelog	6	0	0	0	-1	199	2214.983999999997	4	205	
191017_1034	1	timelog	7	0	0	0	-1	200	2220.264999999999	4	205	
191017_1034	1	timelog	11	0	0	0	-1	201	2222.202999999994	9	205	
191017_1034	1	timelog	12	0	0	0	-1	202	2225.375	9	205	
191017_1034	1	timelog	8	0	0	0	-1	203	2225.625	4	205	
191017_1034	1	timelog	12	0	0	0	-1	204	2229.375	2	205	
191017_1034	1	timelog	4	0	0	0	-1	205	2231.092999999994	6	205	
191017_1034	1	timelog	6	0	0	0	-1	206	2231.389999999999	8	205	
191017_1034	1	timelog	9	0	0	0	-1	207	2237.125	4	205	
191017_1034	1	timelog	3	0	0	0	-1	208	2240.014999999999	5	205	
191017_1034	1	timelog	7	0	0	0	-1	209	2240.467999999994	8	205	
191017_1034	1	timelog	5	0	0	0	-1	210	2241.625	6	205	
191017_1034	1	timelog	8	0	0	0	-1	211	2250.108999999997	8	205	
191017_1034	1	timelog	10	0	0	0	-1	212	2260	4	205	
191017_1034	1	timelog	9	0	0	0	-1	213	2263.483999999997	8	205	
191017_1034	1	timelog	4	0	0	0	-1	214	2264.452999999994	5	205	
191017_1034	1	timelog	6	0	0	0	-1	215	2267.889999999999	6	205	
191017_1034	1	timelog	7	0	0	0	-1	216	2277.702999999994	6	205	
191017_1034	1	timelog	5	0	0	0	-1	217	2280.187000000005	5	205	
191017_1034	1	timelog	11	0	0	0	-1	218	2280.671000000002	4	205	
191017_1034	1	timelog	10	0	0	0	-1	219	2283.983999999997	8	205	
191017_1034	1	timelog	8	0	0	0	-1	220	2286.437000000005	6	205	
191017_1034	1	timelog	12	0	0	0	-1	221	2291.937000000005	4	205	
191017_1034	1	timelog	11	0	0	0	-1	222	2298.358999999997	8	205	
191017_1034	1	timelog	3	0	0	0	-1	223	2300.483999999997	7	205	
191017_1034	1	timelog	9	0	0	0	-1	224	2303.656000000003	6	205	
191017_1034	1	timelog	12	0	0	0	-1	225	2308.421000000002	8	205	
191017_1034	1	timelog	6	0	0	0	-1	226	2310.342999999994	5	205	
191017_1034	1	timelog	7	0	0	0	-1	227	2317.921000000002	5	205	
191017_1034	1	timelog	10	0	0	0	-1	228	2322.921000000002	6	205	
191017_1034	1	timelog	8	0	0	0	-1	229	2323.389999999999	5	205	
191017_1034	1	timelog	9	0	0	0	-1	230	2343	5	205	
191017_1034	1	timelog	11	0	0	0	-1	231	2350.108999999997	6	205	
191017_1034	1	timelog	10	0	0	0	-1	232	2358.327999999994	5	205	
191017_1034	1	timelog	12	0	0	0	-1	233	2368.639999999999	6	205	
191017_1034	1	timelog	4	0	0	0	-1	234	2372.375	7	205	
191017_1034	1	timelog	11	0	0	0	-1	235	2372.937000000005	5	205	
191017_1034	1	timelog	12	0	0	0	-1	236	2380.342999999994	5	205	
191017_1034	1	timelog	5	0	0	0	-1	237	2390.937000000005	7	205	
191017_1034	1	timelog	6	0	0	0	-1	238	2437.452999999994	7	205	
191017_1034	1	timelog	7	0	0	0	-1	239	2453.702999999994	7	205	
191017_1034	1	timelog	8	0	0	0	-1	240	2463.608999999997	7	205	
191017_1034	1	timelog	9	0	0	0	-1	241	2485.639999999999	7	205	
191017_1034	1	timelog	10	0	0	0	-1	242	2503.531000000003	7	205	
191017_1034	1	timelog	11	0	0	0	-1	243	2517.906000000003	7	205	
191017_1034	1	timelog	12	0	0	0	-1	244	2531.875	7	205	
191017_1034	1	timelog	0	0	0	0	-1	245	2579.421000000002	0	2	
191017_1034	1	timelog	0	0	0	0	-1	246	2579.421000000002	0	200	
191017_1034	1	timelog	0	0	0	0	-1	247	2579.452999999994	0	186	
191017_1034	1	timelog	0	0	0	0	-1	248	2591.156000000003	3	6	
191017_1034	1	timelog	0	0	0	0	-1	249	2596.827999999994	4	6	
191017_1034	1	timelog	0	0	0	0	-1	250	2600.639999999999	9	6	
191017_1034	1	timelog	0	0	0	0	-1	251	2601.702999999994	8	6	
191017_1034	1	timelog	0	0	0	0	-1	252	2603.702999999994	1	6	
191017_1034	1	timelog	0	0	0	0	-1	253	2605.875	7	6	
191017_1034	1	timelog	0	0	0	0	-1	254	2606.187000000005	2	6	
191017_1034	1	timelog	0	0	0	0	-1	255	2608.812000000005	5	6	
191017_1034	1	timelog	0	0	0	0	-1	256	2611.639999999999	6	6	
191017_1034	1	timelog	0	0	0	0	-1	257	2656.952999999994	10	6	
191017_1034	1	timelog	0	0	0	0	-1	258	2656.952999999994	0	187	
191017_1034	1	timelog	0	0	0	0	-1	259	2656.983999999997	0	187	
191017_1034	1	timelog	1	0	0	0	-1	260	2668.264999999999	6	9	
191017_1034	1	timelog	2	0	0	0	-1	261	2673.812000000005	3	10	
191017_1034	1	timelog	3	0	0	0	-1	262	2679	2	9	
191017_1034	1	timelog	4	0	0	0	-1	263	2686.077999999994	3	10	
191017_1034	1	timelog	0	0	0	0	-1	264	2692.014999999999	7	41	
191017_1034	1	timelog	5	0	0	0	-1	265	2697.764999999999	2	10	
191017_1034	1	timelog	0	0	0	0	-1	266	2699.046000000002	7	58	
191017_1034	1	timelog	5	0	0	0	-1	267	2700.5	4	12	
191017_1034	1	timelog	7	0	0	0	-1	268	2700.687000000005	3	10	
191017_1034	1	timelog	1	0	0	0	-1	269	2701.687000000005	1	11	
191017_1034	1	timelog	6	0	0	0	-1	270	2704.687000000005	4	12	
191017_1034	1	timelog	0	0	0	0	-1	271	2704.702999999994	7	66	
191017_1034	1	timelog	0	0	0	0	-1	272	2706.031000000003	7	76	
191017_1034	1	timelog	0	0	0	0	-1	273	2706.796000000002	7	43	
191017_1034	1	timelog	11	0	0	0	-1	274	2716.937000000005	3	9	
